name,type,座標(經緯度),營業時間
全家康柏店,便利商店(全家),"25.053890,121.560983",
全家松醫店,便利商店(全家),"25.053463,121.557897",
全家富錦店,便利商店(全家),"25.061276,121.565374",
全家長城店,便利商店(全家),"25.054321,121.546151",
全家宏大店,便利商店(全家),"25.054240,121.549813",
全家敦中店,便利商店(全家),"25.050078,121.547321",
全家宏勝店,便利商店(全家),"25.054153,121.549442",
全家新東店,便利商店(全家),"25.057857,121.566145",
全家慶城店,便利商店(全家),"25.052639,121.544776",
全家大安店,便利商店(全家),"25.044141,121.546052",
全家仁慈店,便利商店(全家),"25.037197,121.546993",
全家明曜店,便利商店(全家),"25.040270,121.551641",
全家國泰店,便利商店(全家),"25.036529,121.553540",
全家忠愛店,便利商店(全家),"25.041075,121.545293",
全家敦新店,便利商店(全家),"25.036986,121.549707",
全家吉泰店,便利商店(全家),"25.037051,121.554598",
全家通昌店,便利商店(全家),"25.032471,121.553157",
全家安賢店,便利商店(全家),"25.028077,121.547787",
全家國父紀念館店,便利商店(全家),"25.039227,121.557407",
全家華視店,便利商店(全家),"25.042971,121.556553",
全家光新店,便利商店(全家),"25.036554,121.557358",
全家敦安店,便利商店(全家),"25.034028,121.550322",
全家安富店,便利商店(全家),"25.038461,121.551614",
全家和信店,便利商店(全家),"25.034182,121.552279",
全家樂和店,便利商店(全家),"25.028229,121.550109",
全家東方店,便利商店(全家),"25.032480,121.551667",
全家安居店,便利商店(全家),"25.019677,121.553268",
全家辛亥店,便利商店(全家),"25.021960,121.541159",
全家二繽店,便利商店(全家),"25.013779,121.552988",
全家臺師店,便利商店(全家),"25.026455,121.527571",
全家國立教育店,便利商店(全家),"25.024595,121.544659",
全家成功店,便利商店(全家),"25.025628,121.545014",
全家和東店,便利商店(全家),"25.024910,121.541721",
全家和新店,便利商店(全家),"25.025652,121.536242",
全家和復店,便利商店(全家),"25.025011,121.543861",
全家和茂店,便利商店(全家),"25.024421,121.548157",
全家延安二店,便利商店(全家),"25.040117,121.554689",
全家延孝店,便利商店(全家),"25.042343,121.554364",
全家昌隆店,便利商店(全家),"25.042420,121.539794",
全家正興店,便利商店(全家),"25.041264,121.541184",
全家忠孝光復店,便利商店(全家),"25.041184,121.556420",
全家忠孝延吉店,便利商店(全家),"25.041598,121.555907",
全家安勝店,便利商店(全家),"25.041848,121.550671",
全家統領店,便利商店(全家),"25.042227,121.551649",
全家龍普店,便利商店(全家),"25.040777,121.550574",
全家延吉店,便利商店(全家),"25.039620,121.553029",
全家頂好店,便利商店(全家),"25.041771,121.547055",
全家政大金華店,便利商店(全家),"25.030158,121.527597",
全家台興店,便利商店(全家),"25.016510,121.544954",
